;调用文件	地图	X	Y	人物姓名	方向	代码	属于城堡	自动移动 	移动间隔	变色模式	变色间隔	颜色固定
沙巴克/武器铺	new0151	26	32	武器铺老板	0	0	1	0	0	0	0	1
沙巴克/炼武器	new0151	31	28	炼武器老板	0	0	1	0	0	0	0	1
沙巴克/布衣店	new0152	21	23	布衣店老板	0	7	1	0	0	0	0	1
沙巴克/头盔店	new0152	17	28	头盔店老板	0	5	1	0	0	0	0	1
;沙巴克/炼药	new0153	22	37	炼药老板	0	9	1	0	0	0	0	1
沙巴克/药店	new0153	28	32	药店老板	0	1	1	0	0	0	0	1
沙巴克/仓库	new01571	23	28	仓库管理员	0	9	1	0	0	0	0	1
;沙巴克/商人	new01571	24	25	商人	0	9	1	0	0	0	0	1
沙巴克/杂货铺老板	new0154	30	29	杂货铺老板	0	3	1	0	0	0	0	1
沙巴克/手镯店	new01581	22	40	手镯店老板	0	6	1	0	0	0	0	1
沙巴克/项链店	new01581	29	32	项链店老板	0	6	1	0	0	0	0	1
沙巴克/戒指店	new01581	29	38	戒指店老板	0	5	1	0	0	0	0	1
沙巴克/老人	3	669	338	老人	0	1	1	0	0	0	0	1
沙巴克/白日门来使	D701	103	156	白日门来使	0	15	0	0	0	0	0	1
												
;紫水晶屋												
紫水晶屋/服装小贩	D608	30	22	服装小贩	0	3	0	0	0	0	0	1
												
;祖玛												
祖玛/药品小贩	D5063	62	36	药品小贩	0	1	0	0	0	0	0	1
;祖玛/神秘人	D5073	83	11	神秘人	0	79	0	0	0	0	0	1
												
;石墓												
石墓/武器店	D71650	23	27	武器店老板	0	0	0	0	0	0	0	1
石墓/服装店	D71651	23	27	服装店老板	0	7	0	0	0	0	0	1
石墓/药品店	D71653	23	27	药品店老板	0	3	0	0	0	0	0	1
石墓/首饰店	D71652	23	27	首饰店老板	0	5	0	0	0	0	0	1
												
;桃源之门												
;桃源之门/神秘老人	R001	21	83	神秘老人	0	9	0	0	0	0	0	1
;桃源之门/合成师	R001	53	115	合成师	0	15	0	0	0	0	0	1
												
;白日门												
白日门/老兵	11	181	322	白日门老兵	0	15	0	0	0	0	0	1
白日门/武器店	1001	14	12	武器店老板	0	15	0	0	0	0	0	1
白日门/杂货店	1007	11	14	杂货店老板	0	17	0	0	0	0	0	1
白日门/首饰店	1005	9	11	首饰店老板	0	20	0	0	0	0	0	1
白日门/服装店	1003	13	16	服装店老板	0	23	0	0	0	0	0	1
白日门/药店	1006	9	10	药店老板	0	22	0	0	0	0	0	1
;白日门/药剂师	1006	12	7	药剂师	0	25	0	0	0	0	0	1
白日门/书店	1004	9	11	书店老板	0	18	0	0	0	0	0	1
白日门/仓库	11	184	296	仓库保管员	0	18	0	0	0	0	0	1
白日门/修理师	11	186	298	修理师	0	0	0	0	0	0	0	1
白日门/天尊	1002	14	13	天尊	0	14	0	0	0	0	0	1
												
;封魔谷												
封魔谷/老兵	4	240	195	封魔谷老兵	0	1	0	0	0	0	0	1
封魔谷/沃玛教主	b341	17	22	沃玛教主	0	27	0	0	0	0	0	1
封魔谷/恶魔杂货匠	4	251	223	恶魔杂货匠	0	3	0	0	0	0	0	1
封魔谷/恶魔屠夫	4	243	187	恶魔屠夫	0	11	0	0	0	0	0	1
封魔谷/恶魔修理师	4	227	223	恶魔修理师	0	0	0	0	0	0	0	1
封魔谷/恶魔首饰店	b344	11	9	恶魔首饰店老板	0	5	0	0	0	0	0	1
封魔谷/恶魔保管员	b347	9	10	恶魔保管员	0	9	0	0	0	0	0	1
封魔谷/恶魔布店老板	b345	12	10	恶魔布店老板	0	7	0	0	0	0	0	1
封魔谷/恶魔学者	b343	8	14	恶魔学者	0	2	0	0	0	0	0	1
;封魔谷/恶魔炼药师	b343	15	9	恶魔炼药师	0	4	0	0	0	0	0	1
封魔谷/恶魔药剂师	b343	13	10	恶魔药剂师	0	6	0	0	0	0	0	1
封魔谷/恶魔铁匠铺	b342	13	10	恶魔铁匠铺老板	0	0	0	0	0	0	0	1
封魔谷/恶魔修理师	d2008	31	24	恶魔修理师	0	0	0	0	0	0	0	1
封魔谷/红娘	M101	29	32	红娘	0	12	0	0	0	0	0	1
												
;苍月岛												
苍月岛/老兵	5	141	335	苍月老兵	0	1	0	0	0	0	0	1
苍月岛/杂货店	5	143	354	杂货店老板	0	3	0	0	0	0	0	1
苍月岛/书店	5	155	297	书店老板	0	2	0	0	0	0	0	1
苍月岛/武器店	5	129	306	武器店老板	0	0	0	0	0	0	0	1
苍月岛/首饰店	5	155	339	首饰店老板	0	4	0	0	0	0	0	1
苍月岛/修理师	5	137	312	修理师	0	0	0	0	0	0	0	1
苍月岛/布料店	5	147	328	布料店老板	0	7	0	0	0	0	0	1
苍月岛/仓库保管员	5	126	332	仓库保管员	0	9	0	0	0	0	0	1
苍月岛/药店	5	161	314	药店老板	0	9	0	0	0	0	0	1
;苍月岛/天虹法师	5	118	366	天虹法师	0	24	0	0	0	0	0	1
												
;魔龙												
魔龙/杂货店	6	138	154	杂货店	0	25	0	0	0	0	0	1
魔龙/药店	6	129	143	药店	0	22	0	0	0	0	0	1
魔龙/武器店	6	106	136	武器店	0	28	0	0	0	0	0	1
魔龙/首饰店	6	113	126	首饰店	0	16	0	0	0	0	0	1
魔龙/仓库	6	94	156	仓库管理员	0	25	0	0	0	0	0	1
魔龙/服装店	6	108	162	服装店	0	23	0	0	0	0	0	1
魔龙/老兵	6	125	157	魔龙老兵	0	27	0	0	0	0	0	1
魔龙/守卫将军	B357	8	9	守卫将军	0	31	0	0	0	0	0	1
魔龙/向导	63	254	40	向导	0	15	0	0	0	0	0	1
魔龙/仓库	63	256	42	仓库管理员	0	25	0	0	0	0	0	1
;魔龙/探险者	66	125	125	探险者	0	15	0	0	0	0	0	1
